帧号,车辆ID,速度(m/s),距离(m),角度(deg)
114,255,-11.145322943616218,195.67707931800447,1.5374255571105055
115,248,14.266094028106425,51.33405313502512,-9.814109356529986
115,249,13.676095848385652,44.14913745190462,-2.271706657823929
115,250,12.6630601501306,42.03294928532613,-7.175097223196396
115,251,10.522629249923797,15.058829961248323,-35.52474050619293
115,253,-11.01475638927095,196.2212204737924,0.510999489062969
115,254,-10.857571642415117,196.8734168522932,2.5473386802090108
115,255,-11.385510532890583,194.53851996508405,1.5464256984964997
116,248,14.225999194274946,52.755821972601574,-9.547108449841048
116,249,13.760765114213765,45.52480753376712,-2.203025776350439
116,250,12.618236407757088,43.29409736440446,-6.965036653503652
116,251,11.235476491001444,16.150525102741778,-32.80476064608015
116,253,-11.19152255440614,195.10206379247813,0.513930794736775
116,254,-10.990291419171736,195.7743782508377,2.5616484445226617
116,255,-11.613601196839745,193.37715645803834,1.555715330088783
117,248,14.325015011411335,54.18756030834281,-9.29258911413391
117,249,13.71846106441659,46.89627177289055,-2.138568709642039
117,250,12.670228159681393,44.5605157441069,-6.766149893760815
117,251,11.713533059385645,17.29623251166262,-30.39048469520797
117,253,-11.447730924167708,193.95728462584364,0.5169642110230093
117,254,-11.189703494314843,194.65539851895485,2.576384026938676
117,255,-11.83824699384586,192.19333272940645,1.5653002080847782
118,248,14.315840436766255,55.618423968825375,-9.051487786537269
118,249,13.783407894002353,48.274272345581146,-2.0774955969398206
118,250,12.661812264171857,45.8261280003875,-6.578447013048586
118,251,12.213560360465738,18.496428672693785,-28.233391154224268
118,253,-11.699134668318415,193.95728462584364,0.5169642110230093
118,254,-11.334911166951608,193.52189534168582,2.591484781898439
118,255,-12.044412325113031,190.98888679945847,1.575174044883388
119,248,14.360384446563664,57.05380032660899,-8.821926913368376
119,249,13.712525520460076,49.645211060978674,-2.0201020112521735
119,250,12.644296402306674,47.090050891319784,-6.401129238588453
119,251,12.590820788596126,19.7380978728708,-26.314952223859688
119,253,-11.892618914227748,191.5981052972651,0.5233298532578751
119,254,-11.446906099935235,193.52189534168582,2.591484781898439
119,255,-12.297313126262807,190.98888679945847,1.575174044883388
120,248,14.338461888092246,58.48703774304183,-8.604082719887934
120,249,13.81855420637905,51.02678355127284,-1.965385103810835
120,250,12.704118429356688,48.359988077603376,-6.232359843240951
120,251,12.84262207021287,21.00804301633109,-24.61426444093395
120,253,-12.034343697651222,190.3946714677714,0.5266377742485862
120,254,-11.447277665555825,191.23246971818412,2.6225314650024787
120,255,-12.43408009024665,188.51573858556324,1.595844149496879
121,248,14.2821160713658,59.914680189185624,-8.397566019539145
121,249,13.717913511473167,52.398304484437475,-1.913921923968543
121,250,12.676118899131735,49.62715339003348,-6.07261807288028
121,251,13.043956715881405,22.300586949365925,-23.10182123138333
121,253,-12.162634959202355,189.1784049567909,0.5300237320789639
121,254,-11.353232416041413,190.09714655482296,2.6382051377051163
121,255,-12.567816239382518,187.25895227216606,1.6065574376975338
122,248,14.326874442726437,61.34683876282009,-8.200156451884675
122,249,13.771217812740886,53.77518245215042,-1.8648996788983527
122,250,12.781406622330136,50.9048805056609,-5.9196418414343155
122,251,13.251226170952219,23.6157476854416,-21.747411543575026
122,253,-12.135387035166477,187.96486155296245,0.5334457830130581
122,254,-11.375877727418771,188.95954413588606,2.654099389768068
122,255,-12.816907446317199,185.9772560879196,1.617632253998069
123,248,14.29927203824987,62.77626965921598,-8.012195582906012
123,249,13.72496162938771,55.14744593383854,-1.8184785925404654
123,250,12.714838343246452,52.1759846266095,-5.774931806095694
123,251,13.510744696072763,24.9583046212131,-20.523082783604313
123,253,-12.149854918961548,186.7498627982965,0.536916494389605
123,254,-11.365677480743791,187.8229612312691,2.6701718825568235
123,255,-13.03139742049114,184.67410419739707,1.6290501339875494
124,248,14.372185783409325,64.2130244694812,-7.831786072914743
124,249,13.857913812904044,56.53301614656186,-1.7738949945763904
124,250,12.767290563997866,53.452352589094154,-5.6365823421495005
124,251,13.619685319288669,26.313058014396688,-19.422682662620637
124,253,-12.154548100112601,186.7498627982965,0.536916494389605
124,254,-11.35849403612004,186.6871087299685,2.686429776126993
124,255,-13.250218194107163,184.67410419739707,1.6290501339875494
125,248,14.34109608220511,65.64670715840187,-7.659706805234731
125,249,13.770094644766008,57.90983118035749,-1.7317073682692445
125,250,12.806253829496516,54.7326472315689,-5.504320534163717
125,251,13.714051131158268,27.678304688827033,-18.429169887695043
125,253,-12.099314424226174,184.32447468582987,0.5439815884884206
125,254,-11.340427765967084,185.55305336206717,2.7028607379782543
125,255,-13.449575141303502,182.00413176157713,1.6529546314976538
126,248,14.399278247521488,67.08623267025288,-7.494391686742044
126,249,13.802796245299914,59.289926721733565,-1.6913864485965593
